player,position,team,age,club,birth_year,description,image
Ajdin Hrustic,MF,Australia,26,Hellas Verona,1996,"Ajdin Hrustic is a versatile footballer with creative playmaking abilities. He excels in delivering accurate crosses and set pieces, contributing to his team's offensive strategies.","https://digitalhub.fifa.com/transform/1902b759-15e7-46a3-9377-3dddc86ed62f/Australia-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Akram Afif,FW,Qatar,26,Al Sadd SC,1996,"Akram Afif is a Qatari forward known for his technical skills and dribbling ability. His speed and agility make him a threat in one-on-one situations, and he's a key player for both club and country.","https://digitalhub.fifa.com/transform/b6c9c4bb-43a7-48c9-8e5b-3998ac460c39/Qatar-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Alan Franco,MF,Ecuador,24,Talleres,1998,"Alan Franco is a defender known for his defensive prowess and ability to read the game. He's a solid presence in the backline, contributing to his team's defensive stability.",
Alejandro Balde,DF,Spain,19,Barcelona,2003,Alejandro Balde is a young footballer known for his potential as a left-back. He possesses strong defensive attributes and has shown promise in supporting attacks from the flanks.,"https://digitalhub.fifa.com/transform/7214e635-be61-40c0-9a18-9432b2e8bfdf/447862?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Aleksandar Mitrović,FW,Serbia,28,Fulham,1994,Aleksandar Mitrović is a prolific Serbian striker known for his physical presence and goal-scoring abilities. He has a natural instinct for finding the net and has showcased his skills in various leagues.,"https://digitalhub.fifa.com/transform/ed0d521c-8d83-45c7-abfc-ae45bf479906/1443091713?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Alex Sandro,DF,Brazil,31,Juventus,1991,"Alex Sandro is a Brazilian left-back with a reputation for his defensive prowess and overlapping runs. He contributes to both defense and attack, making him an essential part of his team's tactics.","https://digitalhub.fifa.com/transform/3b8d2886-0097-4c87-97dd-206fe5007de2/1443021934?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Alex Telles,DF,Brazil,30,Sevilla,1992,Alex Telles is a left-back known for his crossing ability and set-piece expertise. He can provide accurate deliveries into the box and has showcased his skills in both domestic and international competitions.,"https://digitalhub.fifa.com/transform/4c0be3b7-493c-4abb-aeb0-3de078d639f9/1443022070?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Alexander Bah,DF,Denmark,25,Benfica,1997,"Alexander Bah is a footballer known for his versatility and ability to play in various positions. He contributes to his team's defensive and offensive phases, adapting to the needs of the match.",
Alexander Djiku,DF,Ghana,28,Strasbourg,1994,Alexander Djiku is a versatile footballer who can play as a defender or midfielder. He possesses good ball distribution skills and contributes to maintaining possession and defensive stability.,
Alexis Mac Allister,MF,Argentina,23,Brighton,1998,Alexis Mac Allister is an Argentine midfielder known for his technical skills and creative playmaking. He's capable of dictating the tempo of the game and creating scoring opportunities for his team.,"https://digitalhub.fifa.com/transform/587f8ff4-72a1-4499-bf71-c38bbc87c9ec/1442742544?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Alexis Vega,FW,Mexico,25,Guadalajara,1997,"Alexis Vega is a Mexican forward known for his speed and dribbling ability. He can operate as a winger or striker, contributing to his team's attacking movements.",
Ali Abdi,DF,Tunisia,28,Caen,1993,Ali Abdi is a footballer known for his defensive attributes and ability to protect the backline. He's adept at intercepting passes and disrupting opponents' attacks.,
Ali Al Hassan,MF,Saudi Arabia,25,Al-Nassr,1997,Ali Al Hassan is a versatile player who can operate in various positions. His adaptability and tactical awareness make him a valuable asset in different roles on the field.,
Ali Al-Bulaihi,DF,Saudi Arabia,33,Al-Hilal,1989,Ali Al-Bulaihi is a central defender known for his defensive skills and aerial dominance. He provides a solid presence in his team's defense and contributes to set-piece situations.,
Ali Assadalla,MF,Qatar,29,Al Sadd SC,1993,Ali Assadalla is a footballer known for his technical skills and versatility in the attack. He contributes to his team's offensive strategies with his dribbling and creative play.,"https://digitalhub.fifa.com/transform/d3bce4b1-b0ee-4473-84f7-7822be3cbeb9/Qatar-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Ali Gholizadeh,MF,IR Iran,26,Charleroi,1996,Ali Gholizadeh is an Iranian winger known for his speed and ability to take on defenders. He contributes to his team's attacking movements with his flair and agility.,
Ali Karimi,MF,IR Iran,28,Kayserispor,1994,"Ali Karimi is a footballer recognized for his technical skills and playmaking abilities. He possesses good passing range and creative vision, contributing to his team's build-up play.",
Ali Maâloul,DF,Tunisia,32,Al Ahly SC,1990,Ali Maâloul is a Tunisian left-back known for his defensive skills and attacking contributions. He excels in both defending against opponents and supporting his team's offensive movements with overlapping runs and accurate crosses.,
Alidu Seidu,DF,Ghana,22,Clermont Foot,2000,Alidu Seidu is a footballer known for his versatility and ability to play in various positions. He contributes to his team's tactical flexibility and offers solutions in both defense and attack.,
Alireza Beiranvand,GK,IR Iran,30,Persepolis,1992,Alireza Beiranvand is an Iranian goalkeeper known for his shot-stopping abilities and commanding presence in the penalty area. He has showcased his skills in both domestic and international competitions.,
Alireza Jahanbakhsh,MF,IR Iran,29,Feyenoord,1993,Alireza Jahanbakhsh is an Iranian winger known for his technical skills and ability to create scoring opportunities. He's capable of delivering accurate crosses and taking on defenders in one-on-one situations.,
Alisson,GK,Brazil,30,Liverpool,1992,Alisson is a Brazilian goalkeeper known for his exceptional shot-stopping abilities and distribution skills. He plays a crucial role in organizing his team's defense and initiating attacks from the back.,"https://digitalhub.fifa.com/transform/6f442f76-255f-4989-9fc7-e3263e2e9a0a/1443020790?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Alistair Johnston,DF,Canada,24,CF Montreal,1998,Alistair Johnston is a versatile footballer known for his ability to play in defensive roles. He contributes to his team's defensive stability and has shown adaptability in different tactical setups.,
Almoez Ali,FW,Qatar,26,Al Duhail SC,1996,"Almoez Ali is a Qatari forward known for his goal-scoring prowess. He has an eye for the net and has showcased his abilities in various competitions, gaining recognition for his clinical finishing.","https://digitalhub.fifa.com/transform/3f1bd551-1452-4d03-852f-baf31bd2aa0d/Qatar-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Alphonso Davies,MF,Canada,22,Bayern Munich,2000,Alphonso Davies is a Canadian left-back known for his incredible speed and offensive contributions. He excels in making marauding runs down the flank and has showcased his skills at both the club and international levels.,"https://digitalhub.fifa.com/transform/af5a9e08-0f62-48c3-b204-df45bfd14371/1442847715?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Amadou Onana,MF,Belgium,21,Everton,2001,"Amadou Onana is a footballer known for his skills in midfield. He possesses good passing range and the ability to control the tempo of the game, contributing to his team's ball circulation.","https://digitalhub.fifa.com/transform/c20efb33-edb9-4fc6-b810-813163640c76/1442831239?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Noussair Mazraoui,DF,Morocco,25,Bayern Munich,1997,"Noussair Mazraoui is a full-back known for his defensive skills, overlapping runs, and ability to contribute to both defense and attack.","https://digitalhub.fifa.com/transform/c9591567-7fe7-4199-b558-d8b19df33c09/Morocco-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Andre-Frank Zambo Anguissa,MF,Cameroon,27,Napoli,1995,Andre-Frank Zambo Anguissa is a midfielder known for his physicality and ball-winning capabilities. He provides defensive cover and contributes to his team's transitions from defense to attack.,"https://digitalhub.fifa.com/transform/544a8d2d-26ac-4cfa-bf9d-952ac00d3088/1443093055?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Andreas Christensen,DF,Denmark,26,Barcelona,1996,Andreas Christensen is a Danish defender known for his composure on the ball and defensive versatility. He can play as a center-back and has showcased his skills both at the club and international levels.,"https://digitalhub.fifa.com/transform/adcbc9a1-26a4-42c2-a001-83dee23183fa/1442266732?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Andreas Cornelius,FW,Denmark,29,FC Copenhagen,1993,Andreas Cornelius is a Danish forward known for his physical presence and ability to hold up the ball. He contributes to his team's attacking movements and provides a target for crosses and set pieces.,
Andreas Skov Olsen,FW,Denmark,22,Club Brugge,1999,Andreas Skov Olsen is a winger known for his speed and goal-scoring abilities. He excels in one-on-one situations and has shown his skills both in domestic leagues and on the international stage.,
Andrej Kramarić,FW,Croatia,31,Hoffenheim,1991,Andrej Kramarić is a Croatian forward known for his goal-scoring prowess and positioning in the box. He has a natural instinct for finding the net and has been a key contributor for both his club and national team.,"https://digitalhub.fifa.com/transform/a1b0faa7-d634-4440-b8d2-124883fca434/1442834913?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Andries Noppert,GK,Netherlands,28,Heerenveen,1994,Andries Noppert is a footballer known for his goalkeeping skills. He provides a reliable presence in the goal and has showcased his shot-stopping abilities in various competitions.,"https://digitalhub.fifa.com/transform/da635e9a-bcf8-4d17-8213-0175293efe7c/1442167721?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Andrija Živković,DF,Serbia,26,PAOK,1996,Andrija Živković is a Serbian winger known for his technical skills and dribbling ability. He contributes to his team's attacking movements and is capable of delivering accurate crosses.,
Andre Ayew,MF,Ghana,33,Al Sadd SC,1989,Andre Ayew is a versatile footballer known for his ability to play in various attacking positions. He possesses good dribbling skills and has showcased his goal-scoring abilities at both the club and international levels.,
Andre Onana,GK,Cameroon,26,Inter,1996,Andre Onana is a goalkeeper known for his shot-stopping abilities and distribution skills. He plays a key role in organizing his team's defense and initiating attacks from the back.,"https://digitalhub.fifa.com/transform/9c1d424a-20f4-4373-bd81-8b9b795d244c/1443091999?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Andre Silva,FW,Portugal,27,RB Leipzig,1995,Andre Silva is a forward known for his goal-scoring prowess and movement in the box. He has a natural ability to find scoring opportunities and has been a consistent contributor for both club and country.,"https://digitalhub.fifa.com/transform/e7808c91-d650-47a3-8d5f-1b57136c05e2/1442847901?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Andrés Guardado,MF,Mexico,36,Betis,1986,"Andrés Guardado is a midfielder known for his experience and leadership on the field. He possesses good passing range and tactical intelligence, contributing to both offensive and defensive phases.",
Anis Ben Slimane,MF,Tunisia,21,BrÃ¸ndby,2001,Anis Ben Slimane is a footballer known for his technical skills and versatility in the attack. He contributes to his team's offensive movements with his creativity and playmaking abilities.,
Ansu Fati,FW,Spain,20,Barcelona,2002,Ansu Fati is a young Spanish forward known for his incredible speed and goal-scoring abilities. He has become a sensation in the football world due to his talent and potential.,"https://digitalhub.fifa.com/transform/c18616da-8431-4a85-b6ce-d706b85e8095/1442552066?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Ante Budimir,FW,Croatia,31,Osasuna,1991,Ante Budimir is a Croatian forward known for his physicality and ability to hold up the ball. He contributes to his team's attacking play and provides a target for crosses and through balls.,"https://digitalhub.fifa.com/transform/a2a3a1dc-9429-408b-80bb-7c54108314fe/1442834215?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Anthony Contreras,FW,Costa Rica,22,Club Sport Herediano,2000,Anthony Contreras is a footballer known for his versatility and ability to play in various positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,
Antoine Griezmann,MF,France,31,Atletico Madrid,1991,"Antoine Griezmann is a French forward known for his technical skills, creativity, and goal-scoring abilities. He has consistently been a key player for both his club and the national team.","https://digitalhub.fifa.com/transform/9f03ff5a-aad3-433a-8e21-cb96143627ac/1442234382?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Antoine Semenyo,FW,Ghana,22,Bristol City,2000,"Antoine Semenyo is a versatile footballer known for his adaptability in different positions. He can contribute to both attack and defense, providing options in various tactical setups.",
Antonee Robinson,DF,United States,25,Fulham,1997,"Antonee Robinson is a left-back known for his defensive skills and ability to support attacks from the flanks. He contributes to both defense and attack, making him an important asset.",
Antonio Rudiger,DF,Germany,29,Real Madrid,1993,"Antonio Rudiger is a defender known for his defensive prowess and physical presence. He's a key player in the backline, providing solidity and contributing to set pieces.","https://digitalhub.fifa.com/transform/ca15d046-96cf-4e4c-a27c-8f3d201fe03a/1442304912?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Antony,FW,Brazil,22,Manchester Utd,2000,"Antony is a footballer known for his speed and dribbling ability. He can operate as a winger and excels in one-on-one situations, contributing to his team's offensive movements.","https://digitalhub.fifa.com/transform/a7a2866a-2d16-4c3f-803d-e27df5fbdabc/1443021980?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
António Silva,DF,Portugal,19,Benfica,2003,"António Silva is a footballer recognized for his skills in midfield. He possesses good passing range and the ability to dictate the tempo of the game, contributing to his team's ball circulation.","https://digitalhub.fifa.com/transform/3d3aaab4-6e2f-4d33-aae0-2151418d188a/1442848712?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Ao Tanaka,MF,Japan,24,Düsseldorf,1998,Ao Tanaka is a footballer known for his technical skills and versatility in midfield. He contributes to his team's ball distribution and can operate in various tactical roles.,
Ardon Jasari,FW,Switzerland,20,Luzern,2002,Ardon Jasari is a footballer known for his defensive skills and ability to read the game. He contributes to maintaining his team's defensive stability and disrupting opponent's attacks.,
Arkadiusz Milik,FW,Poland,28,Juventus,1994,Arkadiusz Milik is a Polish striker known for his goal-scoring prowess and ability to find scoring opportunities. He has showcased his skills in various leagues and competitions.,
Artur Jędrzejczyk,DF,Poland,35,Legia Warsaw,1987,Artur Jędrzejczyk is a versatile player who can operate as a defender or midfielder. He possesses good ball distribution skills and contributes to maintaining possession.,
Asiri Haitham,FW,Saudi Arabia,21,Al-Ahli,2001,Asiri Haitham is a versatile player known for his adaptability in different positions. He contributes to his team's tactical flexibility and offers solutions in both defense and attack.,
Assim Madibo,MF,Qatar,26,Al Duhail SC,1996,Assim Madibo is a footballer known for his defensive attributes and tactical understanding. He excels at breaking up opponent's attacks and distributing the ball effectively.,"https://digitalhub.fifa.com/transform/e9587353-883d-4349-8f60-0c4e62dbb053/Qatar-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Atiba Hutchinson,MF,Canada,39,Beşiktaş,1983,"Atiba Hutchinson is a midfielder known for his experience and leadership on the field. He possesses good passing range and tactical intelligence, contributing to both offensive and defensive phases.",
Aurélien Tchouaméni,MF,France,22,Real Madrid,2000,Aurélien Tchouaméni is a midfielder known for his technical skills and ability to control the midfield. He contributes to ball circulation and is capable of breaking opponent's play.,"https://digitalhub.fifa.com/transform/a0226b32-d6c2-4d05-86a0-9436f1b8f680/1442233818?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Awer Mabil,MF,Australia,27,Cádiz,1995,Awer Mabil is a winger known for his speed and dribbling ability. He contributes to his team's offensive movements with his flair and agility.,"https://digitalhub.fifa.com/transform/445d0f63-66cf-40df-ba9d-ae3fb5b287e6/Australia-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Axel Disasi,DF,France,24,Monaco,1998,Axel Disasi is a central defender known for his defensive skills and aerial dominance. He provides a solid presence in his team's defense and contributes to set-piece situations.,"https://digitalhub.fifa.com/transform/25128776-bc46-4f54-8d85-792dd6b8cb69/1442233372?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Axel Witsel,MF,Belgium,33,Atlético Madrid,1989,"Axel Witsel is a midfielder known for his composure on the ball and ball-winning abilities. He contributes to both defense and attack, providing stability and distributing the ball effectively.","https://digitalhub.fifa.com/transform/7babea7d-4bac-4fc4-a166-21625949283d/1442831359?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Ayase Ueda,FW,Japan,24,Cercle Brugge,1998,"Ayase Ueda is a footballer known for his versatility in attack. He can operate in various attacking positions, contributing to his team's offensive movements.",
Aymeric Laporte,DF,Spain,28,Manchester City,1994,"Aymeric Laporte is a defender known for his defensive prowess and ability to read the game. He's a solid presence in the backline, contributing to defensive stability.","https://digitalhub.fifa.com/transform/2b44baf6-3e19-42b0-b982-427f88c56334/1442551021?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Aziz Behich,DF,Australia,32,Dundee United,1990,"Aziz Behich is a left-back known for his defensive skills and ability to support attacks from the flanks. He contributes to both defense and attack, making him an important asset.","https://digitalhub.fifa.com/transform/3a7f702e-42aa-419d-ba16-e09ce11a7780/Australia-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Romain Saïss,DF,Morocco,32,Beşiktaş,1990,Romain Saïss is a versatile player known for his ability to play as a midfielder or defender. He contributes to both defense and midfield play.,"https://digitalhub.fifa.com/transform/b781e1dc-a7a9-4d08-a65d-48abe85707e0/Morocco-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Aïssa Laïdouni,MF,Tunisia,26,Ferencváros,1996,Aïssa Laïdouni is a versatile player known for his adaptability in different positions. He offers tactical flexibility and contributes in both defensive and offensive phases.,
Baba Rahman,DF,Ghana,28,Reading,1994,"Baba Rahman is a left-back known for his defensive skills and overlapping runs. He contributes to both defense and attack, making him an important part of his team's tactics.",
Yahya Attiat Allah,DF,Morocco,27,Wydad Casablanca,1995,"Yahya Attiat Allah is a midfielder known for his passing accuracy, box-to-box capabilities, and defensive contributions. He provides energy and stability to the midfield.","https://digitalhub.fifa.com/transform/40df5201-cc2f-4f00-9a96-9c5906656be9/Morocco-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Bailey Wright,DF,Australia,30,Sunderland,1992,"Bailey Wright is a defender known for his defensive skills and leadership qualities. He's a reliable presence in the backline, contributing to defensive stability.","https://digitalhub.fifa.com/transform/e46fee40-ddcd-449d-bfc8-5f5728ee99f7/Australia-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Bamba Dieng,FW,Senegal,22,Marseille,2000,Bamba Dieng is a forward known for his goal-scoring abilities and movement in the box. He has showcased his skills in various competitions and has an eye for finding scoring opportunities.,
Bartosz Bereszyński,DF,Poland,30,Sampdoria,1992,Bartosz Bereszyński is a versatile player who can operate as a defender or midfielder. He possesses good ball distribution skills and contributes to maintaining possession.,
Bassam Al-Rawi,DF,Qatar,25,Al Duhail SC,1997,Bassam Al-Rawi is a footballer known for his defensive attributes and ability to protect the backline. He's adept at intercepting passes and disrupting opponents' attacks.,"https://digitalhub.fifa.com/transform/7c6f3782-d6f0-4d46-ae0f-940e414c52af/Qatar-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Ben Davies,DF,Wales,29,Tottenham,1993,Ben Davies is a defender known for his defensive skills and ability to read the game. He provides stability to the backline and contributes to defensive solidity.,
Benjamin Pavard,DF,France,26,Bayern Munich,1996,"Benjamin Pavard is a versatile player known for his ability to play as a full-back or center-back. He contributes to defense and attack, making him an important part of his team's tactics.","https://digitalhub.fifa.com/transform/37d5f7e7-3b91-4f23-b00c-1d7ede6ab7dd/1442233170?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Bernardo Silva,MF,Portugal,28,Manchester City,1994,"Bernardo Silva is a midfielder known for his technical skills, creativity, and playmaking abilities. He contributes to both offensive and defensive phases, making him a key player for both his club and the national team.","https://digitalhub.fifa.com/transform/c63cbee9-0026-453b-a7a6-9dc8d8ffed03/1442847721?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Abderrazak Hamdallah,FW,Morocco,32,Al-Ittihad,1990,"A Moroccan striker with a reputation for his prolific goal-scoring abilities. He has showcased his scoring prowess in various leagues, gaining attention for his clinical finishing.","https://digitalhub.fifa.com/transform/e1ba5410-1b22-4442-a355-a5c482797b20/Morocco-Portraits-FIFA-World-Cup-Qatar-2022?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Borna Barišić,DF,Croatia,30,Rangers,1992,"Borna Barišić is a left-back known for his overlapping runs and crossing ability. He contributes to both defense and attack, making him a valuable asset on the flanks.","https://digitalhub.fifa.com/transform/59c69f25-e51a-41e9-b5ed-882c5c33132f/1442834133?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
Borna Sosa,DF,Croatia,24,Stuttgart,1998,Borna Sosa is a versatile player who can operate as a left-back or midfielder. He possesses good ball distribution skills and contributes to maintaining possession.,"https://digitalhub.fifa.com/transform/ded7d222-b357-462f-8ec5-fe665e09f409/1442834343?io=transform:fill,aspectratio:1x1,width:320,gravity:top&quality=75"
